requestId,owner,amountOfEEth_wei,amountOfEEth_ether,shareOfEEth_wei,isValid,owner_is_contract
2966,0x43d0fc891363dF86D88190aE64039D4c7Cb3FA5B,100000000000000000,0.100000,97028635060849035,True,False
3029,0x36324031c5A58DAfCeF6ca166d79686AfB61cC85,24886685254785203,0.024887,24145504540009788,True,False
3145,0x79C54e4cb4D671dB318c63d1051856FE01e587B2,50100945002979625,0.050101,48597441215089815,True,True
3222,0x27310835A3861991d4E3612D46126224C4C03018,15041142203589216,0.015041,14589420080498618,True,False
3245,0x8CEdAE1423a74d0A13f09d5192F3B430EC0d88A3,10002913827356064,0.010003,9702177808258774,True,False
3361,0x0dCa7e357F57213b1B154b1FA930afe950Feb642,163550813247435424,0.163551,158618790369831106,True,True
3455,0x56249E668CcA205999Fd9506d5DAB4Bf9dcDfa47,16869239549571853,0.016869,16358956579145952,True,False
3531,0x780A7ced4152576c674327A0A19343a969313290,13735491632161491,0.013735,13319436647622819,True,False
3611,0x8ccCcd1c1CaBDBF71e16218046bf7238b5Ea9274,9999999999999999,0.010000,9696401632776115,True,False
3628,0x718e7A2Ff49106a839f8748082aD8cF10B2aDF1E,1145785592160243637,1.145786,1110999728663393586,True,True
3668,0x4c1d9de1eb18Bc2ED05Fc00b7BA0F25413FCbcEf,502641029458857772,0.502641,487344129672312135,True,False
3924,0xB7302ec1E3385f7418582bB61e26e3577d29836d,3259769205457123098,3.259769,3159934113671957137,True,False
3985,0x39054e5dBD799366AcC1DE66d8c466Db17334ac1,19999999999999999,0.020000,19385823914016745,True,False
4022,0x6b073212C0a0f4169d85C12b7C23ad980eF34b64,100230950834941001,0.100231,97151092283440436,True,False
4033,0x301a276F4dfCe1341b9353e2a3C123c0A172B5B8,38372936696860686,0.038373,37193186942959325,True,False
4207,0xb856De43207F0B840c423751F5AB75Db02BCc10B,100518158748108252,0.100518,97395308735977439,True,False
4439,0x127ABABe78ca31fD3F811110a8f80dcA0De3593c,200564868307805616,0.200565,194287295434596881,True,False
4443,0xdD3c7e2eF6E277bcB47a2A303391ad898b3A5687,99999999999999999,0.100000,96870053601025187,True,False
4623,0x78f3cBd7CE801f2b59952148211Bba5123FD0e70,10000000000000000,0.010000,9684372652882838,True,False
4694,0xd8b502654fA7b59DCdE012E9AD2D7eDEA5ed55E3,401803403495673787,0.401803,389081519288251480,True,False
4722,0xb61b68187B7682b1a1f4e54df11acD29610F35ee,29453635442379459,0.029454,28519805876298593,True,False
4887,0x0BB8c49b33c732657e9fa0F21118f2dDde1F3341,200684801666229759,0.200685,194264679732461533,True,False
4932,0xAa67206287Caa6f24EF762b14F471F2976D9eCBC,82511755204399352,0.082512,79864153163501500,True,False
5083,0x14598e90D72D79a8561FcA3C208e10A1aA657299,551478801045600866,0.551479,533657492834669695,True,False
5160,0xD54D837Bd1Da3cCd16260240ff9c5F07720D0e3B,1000106345533124528,1.000106,967661752023894626,True,False
5325,0xEb515A0E947a7aDcc96a346360e7D7Cc608154e0,99999999999999998,0.100000,96732568729407362,True,False
5361,0xcf720129c9A7380f0d669Bea14826927FE8c7502,200312190022655736,0.200312,193763931563602651,True,False
5458,0xF1d195dc2aB4424F028b2c183BdE260CF3Ae7AEc,100222681005844065,0.100223,96941397832108969,True,False
5494,0x27C3b48237eE700d57D783C946baB690fB622df7,501496527922223591,0.501497,485069069345446029,True,False
5544,0x7d5706f6ef3F89B3951E23e557CDFBC3239D4E2c,151103011584342451,0.151103,146150140271840700,True,True
5805,0xe3208dBF08D8bf70cB57fa97B0F7dD7d8C9ec68F,100002955178791101,0.100003,96721442274421254,True,True
6625,0x9a47eFCc91F64F2751228B53f272480845C6D5a3,12030098741686580,0.012030,11634803395106500,True,False
6820,0x79cC2BAcb71118dDD67172c1BA15F89f67D68eb4,194447421683643021,0.194447,188051125437524269,True,False
6861,0x2634e43a33F136a9ffA56CCa15BfC05FE04a30eD,10011913617014580,0.010012,9682385508754158,True,False
7279,0x2cA834BcaC8C0382d68a042625d3cBC6a72f2B9a,100303428693339717,0.100303,96999840679492037,True,False
7363,0x8D260781649D404404e0ccF905861F3cF8fEf9Eb,30000221524893382,0.030000,29011921708893572,True,False
7414,0xe926e059A8Bdf96745f2F5A1DAD594ecc59aFdb4,102412567449213736,0.102413,99038781642927569,True,False
7435,0x9b3B40D5d44Db63872839341D0f3f7A7F9f703bA,403371108854706205,0.403371,390082820555569649,True,False
7482,0x6b0a6825238919561B725FBeF2024358ae916247,50495245227145016,0.050495,48831776124910443,True,False
7540,0xAE1ecd5F915DD879fe2C28b9EcEEC0E65b82269E,22078146242131644,0.022078,21350625653821163,True,False
7579,0x3182973eAC137869D742f8DD59505E43F9D12E89,155320927788621902,0.155321,150202781929705903,True,False
7603,0xB0ace8Ee24Ba9D10943893B936941dFE398cec48,30004278253856476,0.030004,29015575220201352,True,False
7699,0xc21DC05B60Adf722302b7865D01Ce74511E33006,19999999999999999,0.020000,19340958629106136,True,False
7703,0xc21DC05B60Adf722302b7865D01Ce74511E33006,10000000000000000,0.010000,9670479314553068,True,False
7745,0x1d1c8dA29CFE967061E015E7277Ec5cB1ae916fd,20000000000000000000,20.000000,19340792587104162291,True,False
7746,0x1d1c8dA29CFE967061E015E7277Ec5cB1ae916fd,159422621827013638,0.159423,154167993122430779,True,False
7811,0x91Fc573fa024C991C7774b34a0Acd93E760d3f70,80107413042484145,0.080107,77467043017208431,True,False
7828,0xC513bA86a0c503D4d1f326d627cf3Cc213dA7db7,100043890283046395,0.100044,96746406578570292,True,False
8253,0xFa091CaE9C88f685D54CdF20748c2Fb3F47D1bd4,1029915173990146600,1.029915,995944048556446082,True,False
8719,0x972749546bEb3215060413Dba8f666603acbeF43,15004436140878705,0.015004,14509523943178997,True,False
8750,0x42e8F94FBA0F2B63449C3042C6DC6511f694446A,1224755162773968684,1.224755,1184357358847094178,True,False
9039,0x6ae8fFaF51A0f6F0FD33b3Da32Be3AEBD289162E,20039663567295042,0.020040,19377530930042046,True,True
9154,0x71D8c873c43fa2dD3fc1c5A5B505112aB2ddAE07,113084290096940057,0.113084,109347860142299025,True,False
9164,0x020552459b78A103322448B240313C3D6dAEC55f,952747354911565117,0.952747,921267529083902173,True,False
9198,0x4249582Df22e9d86539827E15446429252754a57,1507649780456012725,1.507650,1457835365067502003,True,False
9329,0x3D7f2165d3d54eAF9F6af52fd8D91669D4E02ebC,100454314809100101,0.100454,97135193199865909,True,False
9394,0x91163cca8f5C2C2008A4e520eC04D2df48fAf396,100228923616703300,0.100229,96913811219461377,True,False
9400,0xa8804DF6F73782FDBE5B0C9BCe43eF12183cfF75,100039831661620096,0.100040,96730973557668923,True,False
9443,0x099aEF2E757F0FC6e4803b7dF5e8Fe7Dd0F4009D,142999999999999999,0.143000,138270216862564490,True,False
9502,0x9d7Fb066f6291461a958d381AB68fCfeAdB4Fe99,50208734878633963,0.050209,48548060559886179,True,False
9525,0x300e5AD9df88460f1Bd55e9725e21D1aA5bB6c39,110441587872269868,0.110442,106788687452760329,True,False
9550,0x98D094A8ce25c45C01d017cd98fBAd9807B163A4,1000094128266738127,1.000094,967015608380554332,True,False
9595,0x5AF4DE8d1306276926b7Cc23175E8FC1329D5A06,360367784381972785,0.360368,348448473404036770,True,False
9703,0x6d8DaA0437C60E0E20C524C7397B693032B07c19,19356635226836898,0.019357,18716406647162888,True,False
9747,0x03e30A9F11875A877ab10586FbEb459CFE69Dc42,77936594688081422,0.077937,75358810133222447,True,False
9838,0x0bEAf3c0C8d7cb2C8A7E86B4dbaD5147FF8D1523,100467934244108025,0.100468,97144916473193608,True,False
9853,0x0c3d4144EFB3Ac96d3f8e36AD283e75C12a70362,148779287747415240,0.148779,143858352318132792,True,False
10067,0x248D9E9EB04c0548f32c7834318A931ff25600de,80569009016976083,0.080569,77898451085516559,True,False
10115,0x3B8f8b39E9bd8b8c24E74968BdaC2210e3bFf987,100567098746856045,0.100567,97233679774981870,True,False
10128,0xD4FA9079b8a1c796bf566dC83b154e6C5e7fE736,1000000000000000000,1.000000,966853782067782038,True,False
10217,0xCFA3271B079b40d02de4897c9dA2c41a58e4dD81,3196563875206631847,3.196564,3090583126235257590,True,False
10402,0xe97955A5E493133c08E015776B718E7E97a33486,100533849027283099,0.100534,97199036568526250,True,False
10422,0xb74e1EaD095F547F1dfe5957f11c9b9cB453Dbb1,10000000000000000,0.010000,9668197959976358,True,False
10446,0xFa9d4dB2D1E6b9eb1bCB92C991133A6847098e8c,90000000000000000,0.090000,87013781639787224,True,False
10696,0xf299A5dd7FB99119a25307D04e32ADd53F6b616d,766724840011697629,0.766725,741258492636228856,True,False
10797,0x3FfA5C695B39cFbf47Ab1e3c2493f69c7F72D92f,10976847207213938,0.010977,10612257214196247,True,False
10880,0x6DEE1ea33504e13d9dfa7f7b97ebBa73FF97e210,200708993005521939,0.200709,194042553273138712,True,False
10958,0x20b00D1c0F62098eadb83D1E7b46D2908d0ae8b1,70371727958956029,0.070372,68034369396805596,True,False
11193,0xCE3ded87c374F73a0a3bd8843611B71F11dcDC49,45780896992536102,0.045781,44258133951399256,True,False
11196,0x6ee238452cd5C25f435E6290A3EA159505afE12C,97496458470043363,0.097496,94253533727347294,True,False
11244,0xB8B98df38EeCEB1792C14bc8e2BCa082c2BB4922,110554003168447688,0.110554,106876758703314460,True,False
11301,0x79CD90C2c1679142B9d638457667C88B2b7257AA,145464626774487963,0.145465,140626186027442987,True,False
11406,0x97cBD5dBfe0ad713AB770928c1BdA7f879B8a89B,702132256436934305,0.702132,678754637030174583,True,False
11672,0x4B2b3B540692a5359d3E692853d6F9CD8020D7AB,10006173296656826,0.010006,9673015962119331,True,False
11737,0xDfE6572031a22C7a37844F9efde8053CAeC8AeCe,55184427844097905,0.055184,53347052421601573,True,False
11846,0xC361E60EFa5F37C31E25315F11af6A3d09E9027A,151031359429854929,0.151031,145997491191158277,True,False
11916,0xd11EcEC932956Ac9c425e43a055588cD5672b201,58054281362834659,0.058054,56119334844602070,True,False
11991,0x05449251BD127ADE3F973403Ff76f25AB65FBFc4,100278509235891223,0.100279,96936231151578236,True,False
12192,0x010f7F6ac48D3cE68E2925Afbc8fFa378d589Eac,10006908510965543,0.010007,9673015962119331,True,False
